rate_date,from_currency,to_currency,rate_value
2024-01-01,USD,KHR,0.999856
2024-01-01,EUR,KHR,0.919205
2024-01-01,JPY,KHR,149.366866
2024-01-01,CNY,KHR,7.260329
2024-01-01,GBP,KHR,0.789395
2024-01-01,THB,KHR,35.340532
2024-01-01,KRW,KHR,1323.070621
2024-01-02,USD,KHR,0.999733
2024-01-02,EUR,KHR,0.919002
2024-01-02,JPY,KHR,149.638598
2024-01-02,CNY,KHR,7.246727
2024-01-02,GBP,KHR,0.795515
2024-01-02,THB,KHR,35.569932
2024-01-02,KRW,KHR,1321.021086
2024-01-03,USD,KHR,0.999262
2024-01-03,EUR,KHR,0.915333
2024-01-03,JPY,KHR,149.794625
2024-01-03,CNY,KHR,7.277969
2024-01-03,GBP,KHR,0.790197
2024-01-03,THB,KHR,35.488677
2024-01-03,KRW,KHR,1324.913612
2024-01-04,USD,KHR,0.998546
2024-01-04,EUR,KHR,0.918564
2024-01-04,JPY,KHR,150.086474
2024-01-04,CNY,KHR,7.265294
2024-01-04,GBP,KHR,0.788859
2024-01-04,THB,KHR,35.540108
2024-01-04,KRW,KHR,1322.293492
2024-01-05,USD,KHR,1.000782
2024-01-05,EUR,KHR,0.914879
2024-01-05,JPY,KHR,150.179628
2024-01-05,CNY,KHR,7.196139
2024-01-05,GBP,KHR,0.777581
2024-01-05,THB,KHR,35.435366
2024-01-05,KRW,KHR,1311.537915
2024-01-08,USD,KHR,1.000876
2024-01-08,EUR,KHR,0.923056
2024-01-08,JPY,KHR,148.041987
2024-01-08,CNY,KHR,7.26454
2024-01-08,GBP,KHR,0.78525
2024-01-08,THB,KHR,35.490815
2024-01-08,KRW,KHR,1317.284366
2024-01-09,USD,KHR,1.000114
2024-01-09,EUR,KHR,0.923766
2024-01-09,JPY,KHR,150.263543
2024-01-09,CNY,KHR,7.250133
2024-01-09,GBP,KHR,0.793081
2024-01-09,THB,KHR,35.550959
2024-01-09,KRW,KHR,1314.206654
2024-01-10,USD,KHR,0.999283
2024-01-10,EUR,KHR,0.917838
2024-01-10,JPY,KHR,150.097194
2024-01-10,CNY,KHR,7.232757
2024-01-10,GBP,KHR,0.801071
2024-01-10,THB,KHR,35.412745
2024-01-10,KRW,KHR,1309.846399
2024-01-11,USD,KHR,1.000768
2024-01-11,EUR,KHR,0.926541
2024-01-11,JPY,KHR,150.104808
2024-01-11,CNY,KHR,7.264205
2024-01-11,GBP,KHR,0.796761
2024-01-11,THB,KHR,35.489986
2024-01-11,KRW,KHR,1306.851859
2024-01-12,USD,KHR,0.999468
2024-01-12,EUR,KHR,0.924383
2024-01-12,JPY,KHR,147.773361
2024-01-12,CNY,KHR,7.240971
2024-01-12,GBP,KHR,0.7912
2024-01-12,THB,KHR,35.466389
2024-01-12,KRW,KHR,1326.68636
2024-01-15,USD,KHR,1.000581
2024-01-15,EUR,KHR,0.930678
2024-01-15,JPY,KHR,150.241481
2024-01-15,CNY,KHR,7.222352
2024-01-15,GBP,KHR,0.787337
2024-01-15,THB,KHR,35.411437
2024-01-15,KRW,KHR,1328.799008
2024-01-16,USD,KHR,0.999433
2024-01-16,EUR,KHR,0.919677
2024-01-16,JPY,KHR,150.396166
2024-01-16,CNY,KHR,7.219049
2024-01-16,GBP,KHR,0.788608
2024-01-16,THB,KHR,35.303903
2024-01-16,KRW,KHR,1309.997898
2024-01-17,USD,KHR,0.999432
2024-01-17,EUR,KHR,0.921913
2024-01-17,JPY,KHR,150.927418
2024-01-17,CNY,KHR,7.239465
2024-01-17,GBP,KHR,0.791239
2024-01-17,THB,KHR,35.517889
2024-01-17,KRW,KHR,1330.023008
2024-01-18,USD,KHR,1.000893
2024-01-18,EUR,KHR,0.921259
2024-01-18,JPY,KHR,148.290911
2024-01-18,CNY,KHR,7.266162
2024-01-18,GBP,KHR,0.791806
2024-01-18,THB,KHR,35.630669
2024-01-18,KRW,KHR,1319.723663
2024-01-19,USD,KHR,1.001953
2024-01-19,EUR,KHR,0.918349
2024-01-19,JPY,KHR,151.4053
2024-01-19,CNY,KHR,7.243334
2024-01-19,GBP,KHR,0.787553
2024-01-19,THB,KHR,35.37982
2024-01-19,KRW,KHR,1318.604478
2024-01-22,USD,KHR,1.001423
2024-01-22,EUR,KHR,0.923755
2024-01-22,JPY,KHR,150.323905
2024-01-22,CNY,KHR,7.171195
2024-01-22,GBP,KHR,0.79337
2024-01-22,THB,KHR,35.559198
2024-01-22,KRW,KHR,1314.918681
2024-01-23,USD,KHR,0.999373
2024-01-23,EUR,KHR,0.919989
2024-01-23,JPY,KHR,151.562952
2024-01-23,CNY,KHR,7.209444
2024-01-23,GBP,KHR,0.787972
2024-01-23,THB,KHR,35.64503
2024-01-23,KRW,KHR,1315.877567
2024-01-24,USD,KHR,0.999636
2024-01-24,EUR,KHR,0.92045
2024-01-24,JPY,KHR,148.015418
2024-01-24,CNY,KHR,7.24637
2024-01-24,GBP,KHR,0.784266
2024-01-24,THB,KHR,35.594274
2024-01-24,KRW,KHR,1320.029391
2024-01-25,USD,KHR,1.002283
2024-01-25,EUR,KHR,0.921292
2024-01-25,JPY,KHR,151.133365
2024-01-25,CNY,KHR,7.202257
2024-01-25,GBP,KHR,0.789421
2024-01-25,THB,KHR,35.534415
2024-01-25,KRW,KHR,1336.130461
2024-01-26,USD,KHR,0.998319
2024-01-26,EUR,KHR,0.924557
2024-01-26,JPY,KHR,150.207259
2024-01-26,CNY,KHR,7.284411
2024-01-26,GBP,KHR,0.793377
2024-01-26,THB,KHR,35.505546
2024-01-26,KRW,KHR,1315.179957
2024-01-29,USD,KHR,0.998752
2024-01-29,EUR,KHR,0.920899
2024-01-29,JPY,KHR,149.270731
2024-01-29,CNY,KHR,7.298507
2024-01-29,GBP,KHR,0.787104
2024-01-29,THB,KHR,35.534122
2024-01-29,KRW,KHR,1305.502427
2024-01-30,USD,KHR,0.999605
2024-01-30,EUR,KHR,0.921201
2024-01-30,JPY,KHR,150.485456
2024-01-30,CNY,KHR,7.281937
2024-01-30,GBP,KHR,0.789791
2024-01-30,THB,KHR,35.381013
2024-01-30,KRW,KHR,1324.230538
2024-01-31,USD,KHR,1.000517
2024-01-31,EUR,KHR,0.922262
2024-01-31,JPY,KHR,148.662456
2024-01-31,CNY,KHR,7.272823
2024-01-31,GBP,KHR,0.790417
2024-01-31,THB,KHR,35.574531
2024-01-31,KRW,KHR,1331.772437
2024-02-01,USD,KHR,1.000609
2024-02-01,EUR,KHR,0.921318
2024-02-01,JPY,KHR,152.074743
2024-02-01,CNY,KHR,7.247058
2024-02-01,GBP,KHR,0.788597
2024-02-01,THB,KHR,35.511924
2024-02-01,KRW,KHR,1333.700782
2024-02-02,USD,KHR,1.000119
2024-02-02,EUR,KHR,0.922389
2024-02-02,JPY,KHR,150.930095
2024-02-02,CNY,KHR,7.225148
2024-02-02,GBP,KHR,0.781816
2024-02-02,THB,KHR,35.531889
2024-02-02,KRW,KHR,1322.12275
2024-02-05,USD,KHR,0.999392
2024-02-05,EUR,KHR,0.924007
2024-02-05,JPY,KHR,150.226651
2024-02-05,CNY,KHR,7.211185
2024-02-05,GBP,KHR,0.792456
2024-02-05,THB,KHR,35.479115
2024-02-05,KRW,KHR,1306.296847
2024-02-06,USD,KHR,1.000453
2024-02-06,EUR,KHR,0.919792
2024-02-06,JPY,KHR,148.608642
2024-02-06,CNY,KHR,7.255145
2024-02-06,GBP,KHR,0.792314
2024-02-06,THB,KHR,35.438492
2024-02-06,KRW,KHR,1323.699254
2024-02-07,USD,KHR,1.001015
2024-02-07,EUR,KHR,0.916722
2024-02-07,JPY,KHR,149.955544
2024-02-07,CNY,KHR,7.24008
2024-02-07,GBP,KHR,0.800741
2024-02-07,THB,KHR,35.301665
2024-02-07,KRW,KHR,1326.424424
2024-02-08,USD,KHR,0.999694
2024-02-08,EUR,KHR,0.919539
2024-02-08,JPY,KHR,151.7743
2024-02-08,CNY,KHR,7.239752
2024-02-08,GBP,KHR,0.800622
2024-02-08,THB,KHR,35.452911
2024-02-08,KRW,KHR,1323.238731
2024-02-09,USD,KHR,0.999509
2024-02-09,EUR,KHR,0.916823
2024-02-09,JPY,KHR,149.57473
2024-02-09,CNY,KHR,7.231817
2024-02-09,GBP,KHR,0.79096
2024-02-09,THB,KHR,35.275815
2024-02-09,KRW,KHR,1338.502801
2024-02-12,USD,KHR,0.999833
2024-02-12,EUR,KHR,0.928017
2024-02-12,JPY,KHR,148.295494
2024-02-12,CNY,KHR,7.248472
2024-02-12,GBP,KHR,0.805002
2024-02-12,THB,KHR,35.407374
2024-02-12,KRW,KHR,1306.18343
2024-02-13,USD,KHR,0.999453
2024-02-13,EUR,KHR,0.922173
